title,author,cover_url,series,series_number,year,subgenre,age_category,standalone,spice_level,door,spice_frequency,heat_type,tropes,mood,content_warnings,representation,energy,pacing,pov,mc_archetype,li_archetype,relationship_type,who_falls_first,ending,cliffhanger,setting,world_type,comp_titles,rating_avg,featured,status,blurb
Clockwork Angel,Cassandra Clare,,The Infernal Devices,1,2010,romantasy,YA,false,2,fade,rare,,love-triangle; hidden-identity; forbidden-love; slow-burn,angsty,,,,,3rd dual,,,MF,,cliffhanger,true,,historical,,,,live,"Tessa Gray sails to Victorian London to find her brother — and is kidnapped instead by two shadow-warlocks who mean to weaponize her impossible gift. Rescued into the London Institute, she meets two Shadowhunters: the reckless, dying Will Herondale and the gentle, deadly Jem Carstairs. The trilogy that broke a generation's heart."
Clockwork Prince,Cassandra Clare,,The Infernal Devices,2,2011,romantasy,YA,false,2,fade,rare,,love-triangle; slow-burn; forbidden-love; found-family,angsty,,,,,3rd dual,,,MF,,cliffhanger,true,,historical,,,,live,"With the London Institute under investigation and Mortmain closing in, Tessa must decide between the two young men who love her — and every reader must decide which of them they can bear to break. The middle Infernal Devices book: dark, aching, and infamous."
Clockwork Princess,Cassandra Clare,,The Infernal Devices,3,2013,romantasy,YA,false,2,fade,rare,,forbidden-love; love-triangle; sacrifice; slow-burn,emotional,,,,,3rd dual,,,MF,,HEA,false,,historical,,,,live,"War, illness, and a wedding neither Tessa nor Will can survive. The finale of The Infernal Devices is one of the most quoted, most-cried-over romantasy endings in the genre."
An Ember in the Ashes,Sabaa Tahir,,An Ember in the Ashes,1,2015,romantasy,YA,false,2,fade,rare,,enemies-to-lovers; forbidden-love; slow-burn; academy,angsty,,,,,1st dual,,,MF,,cliffhanger,true,,high-fantasy,,,,live,"Laia is a Scholar slave-girl who becomes a spy for the Resistance to save her brother; Elias is the finest soldier of the empire that owns her, and he wants out. Sabaa Tahir's Roman-inspired quartet is the modern romantasy standard for high-stakes forbidden love."
A Torch Against the Night,Sabaa Tahir,,An Ember in the Ashes,2,2016,romantasy,YA,false,2,fade,rare,,enemies-to-lovers; forbidden-love; road-trip; slow-burn,angsty,,,,,multi,,,MF,,cliffhanger,true,,high-fantasy,,,,live,"On the run from the empire that raised him, Elias races to keep Laia alive across a continent that wants them both dead. Tahir tightens every screw — new POVs, sharper stakes, a body count no one saw coming."
A Reaper at the Gates,Sabaa Tahir,,An Ember in the Ashes,3,2018,romantasy,YA,false,2,fade,rare,,enemies-to-lovers; morally-grey; war; sacrifice,angsty,,,,,multi,,,MF,,cliffhanger,true,,high-fantasy,,,,live,"With the empire tearing itself apart, Laia takes on the assassin who murdered her family, Helene faces the throne she was raised to serve, and Elias walks into the land of the dead. The third book: the one that hurts."
A Sky Beyond the Storm,Sabaa Tahir,,An Ember in the Ashes,4,2020,romantasy,YA,false,2,fade,rare,,enemies-to-lovers; war; sacrifice; found-family,emotional,,,,,multi,,,MF,,HFN,false,,high-fantasy,,,,live,"Every ally, every enemy, every prophecy meets in one final battle for the empire and the world of the dead. Tahir's blazing conclusion to the Ember in the Ashes quartet."
Daughter of Smoke and Bone,Laini Taylor,,Daughter of Smoke and Bone,1,2011,romantasy,YA,false,2,fade,rare,,forbidden-love; enemies-to-lovers; hidden-identity; slow-burn,dreamy,,,,,3rd single,,,MF,,cliffhanger,true,,high-fantasy,,,,live,"Karou is a seventeen-year-old art student in Prague who runs errands for chimaera monsters and has no idea where she came from. When a scarred, terrible seraph named Akiva starts scorching handprints onto doorways, she is going to find out. Laini Taylor's gorgeous, moody, generation-defining opener."
Days of Blood and Starlight,Laini Taylor,,Daughter of Smoke and Bone,2,2012,romantasy,YA,false,2,fade,rare,,enemies-to-lovers; forbidden-love; war; sacrifice,angsty,,,,,3rd dual,,,MF,,cliffhanger,true,,high-fantasy,,,,live,"Karou has become the resurrectionist of a broken chimaera rebellion; Akiva is a general in a seraph army she was raised to hate. The middle book of Laini Taylor's trilogy — bloodier, angrier, and full of the world-building the first hinted at."
Dreams of Gods and Monsters,Laini Taylor,,Daughter of Smoke and Bone,3,2014,romantasy,YA,false,2,fade,rare,,forbidden-love; war; found-family; sacrifice,emotional,,,,,multi,,,MF,,HEA,false,,high-fantasy,,,,live,"Chimaera and seraph must ally, or nothing survives what is coming through the tears in the sky. Laini Taylor closes her trilogy with prose so lush people quote it a decade later."
Strange the Dreamer,Laini Taylor,,Strange the Dreamer,1,2017,romantasy,YA,false,1,closed,none,,forbidden-love; slow-burn; hidden-identity; dreamy,dreamy,,,,,3rd dual,,,MF,,cliffhanger,true,,high-fantasy,,,,live,"Lazlo Strange, an orphan librarian who has dreamed of the lost city of Weep his entire life, joins the expedition sent to find it — and dreams a girl there who is not supposed to exist. Laini Taylor's most exquisite prose."
